Enclosure,Vole ID,Northing,Easting
LD,C01EB3E,4378323.762,695583.906
LD,C01EB3E,4378324.652,695584.217
LD,C01EB3E,4378318.685,695588.234
LD,C01EB3E,4378329.253,695581.133
LD,C01EB3E,4378325.123,695581.282
LD,C01EB3E,4378330.097,695582.177
LD,C01EB3E,4378322.002,695587.015
LD,C01EB3E,4378328.412,695589.294
LD,C01EB3E,4378328.585,695586.738
LD,C01EB3E,4378329.302,695587.21
LD,C01EB3E,4378329.431,695586.209
LD,C01EB3E,4378332.741,695584.29
LD,C01EB3E,4378332.189,695587.264
LD,C01EB3E,4378335.843,695584.95
LD,C01EB3E,4378332.482,695589.219
LD,C01EB3E,4378328.32,695586.12
LD,C01EB3E,4378327.28,695581.152
LD,C01EB3E,4378334.434,695581.431
LD,C01EB3E,4378331.496,695586.914
LD,C01EB3E,4378332.878,695582.202
LD,C01EB3E,4378331.149,695583.236
LD,C01EB3E,4378332.492,695582.171
LD,C01EB3E,4378331.967,695582.039
LD,C01EB3C,4378305.303,695584.789
LD,C01EB3C,4378310.325,695603.07
LD,C01EB3C,4378307.784,695604.972
LD,C01EB3C,4378309.33,695604.422
LD,C01EB3C,4378307.705,695609.794
LD,C01EB3C,4378305.688,695608.977
LD,C01EB3C,4378307.791,695609.7
LD,C01EB3C,4378307.787,695609.07
LD,C01EB3C,4378307.206,695609.837
LD,C01EB3C,4378307.736,695609.113
LD,C01EB3C,4378307.323,695609.799
LD,C01EB3C,4378306.78,695600.62
LD,C01EB3C,4378309.477,695598.327
LD,C01EB3C,4378306.146,695599.604
LD,C01EB3C,4378308.748,695609.118
LD,C01EB3C,4378307.098,695606.2
LD,C01EB39,4378335.539,695586.791
LD,C01EB39,4378329.402,695592.552
LD,C01EB39,4378335.016,695591.393
LD,C01EB39,4378334.662,695590.817
LD,C01EB39,4378317.801,695600.237
LD,C01EB39,4378336.052,695585.002
LD,C01EB39,4378330.425,695586.21
LD,C01EB39,4378331.688,695584.394
LD,C01EB39,4378333.272,695590.534
LD,C01EB39,4378335.386,695587.497
LD,C01EB39,4378333.814,695592.803
LD,C01EB39,4378334.187,695593.772
LD,C01EB39,4378321.47,695595.245
LD,C01EB39,4378328.11,695593.877
LD,C01EB39,4378330.085,695590.473
LD,C01EB39,4378331.746,695590.859
LD,C01EB34,4378309.149,695607.719
LD,C01EB34,4378309.418,695607.964
LD,C01EB34,4378315.643,695605.541
LD,C01EB34,4378310.783,695608.552
LD,C01EB34,4378309.7,695606.968
LD,C01EB34,4378315.31,695609.572
LD,C01EB34,4378309.133,695606.385
LD,C01EB34,4378313.162,695609.217
LD,C01EB34,4378308.369,695609.111
LD,C01EB34,4378305.904,695603.984
LD,C01EB34,4378307.826,695602.834
LD,C01EB34,4378316.7,695607.45
LD,C01EB34,4378319.718,695609.593
LD,C01EB34,4378312.531,695608.384
LD,C01EB34,4378309.182,695606.148
LD,C01EB34,4378308.473,695602.754
LD,C01EB34,4378315.635,695606.266
LD,C01EB34,4378318.101,695609.523
LD,C01EB34,4378313.02,695608.913
